"","population_group_name","measure_name","location_name","sex_name","age_name","cause_name","metric_name","year","val","upper","lower"
"188","All Population","DALYs (Disability-Adjusted Life Years)","China","Female","<20 years","Chronic kidney disease","Rate",2013,26.05130195,33.30311,19.6689239
"189","All Population","DALYs (Disability-Adjusted Life Years)","China","Male","60+ years","Chronic kidney disease","Rate",2013,1306.39165,1587.038063,994.7732301
"190","All Population","DALYs (Disability-Adjusted Life Years)","China","Female","60+ years","Chronic kidney disease","Rate",2013,1203.80523,1419.362957,995.6882331
"191","All Population","DALYs (Disability-Adjusted Life Years)","China","Male","20-54 years","Chronic kidney disease","Rate",2013,201.5918728,238.0873246,162.6216622
"192","All Population","DALYs (Disability-Adjusted Life Years)","China","Female","20-54 years","Chronic kidney disease","Rate",2013,148.2935178,178.1859994,122.595873
"193","All Population","DALYs (Disability-Adjusted Life Years)","China","Male","55-59 years","Chronic kidney disease","Rate",2014,547.2603142,659.2890369,416.6875127
"194","All Population","DALYs (Disability-Adjusted Life Years)","China","Female","55-59 years","Chronic kidney disease","Rate",2014,440.6316706,548.7258975,358.9843821
"195","All Population","DALYs (Disability-Adjusted Life Years)","China","Male","<20 years","Chronic kidney disease","Rate",2014,28.73662838,36.09282261,21.88433265
"196","All Population","DALYs (Disability-Adjusted Life Years)","China","Female","<20 years","Chronic kidney disease","Rate",2014,24.74185183,31.85887307,18.71077427
"197","All Population","DALYs (Disability-Adjusted Life Years)","China","Male","60+ years","Chronic kidney disease","Rate",2014,1292.142898,1553.195975,985.3414737
"198","All Population","DALYs (Disability-Adjusted Life Years)","China","Female","60+ years","Chronic kidney disease","Rate",2014,1193.555975,1413.625133,974.9387601
"199","All Population","DALYs (Disability-Adjusted Life Years)","China","Male","20-54 years","Chronic kidney disease","Rate",2014,199.4259203,230.4434959,158.4389273
"200","All Population","DALYs (Disability-Adjusted Life Years)","China","Female","20-54 years","Chronic kidney disease","Rate",2014,146.2593081,177.1651077,120.3447538
"201","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","55-59 years","Chronic kidney disease","Rate",2015,1157.464831,1390.25931,979.3364352
"202","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","55-59 years","Chronic kidney disease","Rate",2015,888.6670993,1052.094154,752.621734
"203","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","<20 years","Chronic kidney disease","Rate",2015,106.0621875,148.4216322,78.60677948
"204","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","<20 years","Chronic kidney disease","Rate",2015,87.96915032,126.4611242,64.04016927
"205","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","60+ years","Chronic kidney disease","Rate",2015,2325.211748,2682.020433,2055.896433
"206","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","60+ years","Chronic kidney disease","Rate",2015,1917.101887,2173.40196,1703.757214
"207","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","20-54 years","Chronic kidney disease","Rate",2015,384.8057434,453.6597543,324.3820394
"208","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","20-54 years","Chronic kidney disease","Rate",2015,315.8339249,378.9291859,260.9674638
"209","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","55-59 years","Chronic kidney disease","Rate",2013,1132.428117,1354.019537,950.4418076
"210","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","55-59 years","Chronic kidney disease","Rate",2013,855.3354524,987.4768556,726.0328898
"211","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","<20 years","Chronic kidney disease","Rate",2013,105.2527474,148.0561256,77.97865326
"212","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","<20 years","Chronic kidney disease","Rate",2013,87.09667765,124.4391447,63.12985817
"213","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","60+ years","Chronic kidney disease","Rate",2013,2322.728136,2652.574474,2010.901909
"214","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","60+ years","Chronic kidney disease","Rate",2013,1895.857399,2143.523979,1685.505202
"215","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","20-54 years","Chronic kidney disease","Rate",2013,382.8974512,450.3485256,319.4363266
"216","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","20-54 years","Chronic kidney disease","Rate",2013,305.510015,369.6218099,254.3923666
"217","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","55-59 years","Chronic kidney disease","Rate",2016,1174.548565,1414.592855,1004.262393
"218","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","55-59 years","Chronic kidney disease","Rate",2016,902.4673638,1067.670021,768.4199602
"219","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","<20 years","Chronic kidney disease","Rate",2016,106.8875086,149.0287844,78.43448576
