population_group_name,measure_name,location_name,sex_name,age_name,cause_name,metric_name,year,val,upper,lower
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,20-54 years,Chronic kidney disease,Rate,2014,382.3914861,448.5518326,324.3615322
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,20-54 years,Chronic kidney disease,Rate,2014,310.1397203,375.1362532,255.7714722
All Population,DALYs (Disability-Adjusted Life Years),China,Male,55-59 years,Chronic kidney disease,Rate,2013,555.9258524,670.7937868,423.775238
All Population,DALYs (Disability-Adjusted Life Years),China,Female,55-59 years,Chronic kidney disease,Rate,2013,449.624608,555.067681,367.8117251
All Population,DALYs (Disability-Adjusted Life Years),China,Male,<20 years,Chronic kidney disease,Rate,2013,30.56331898,38.06094547,22.45151503
All Population,DALYs (Disability-Adjusted Life Years),China,Female,<20 years,Chronic kidney disease,Rate,2013,26.05130195,33.30311,19.6689239
All Population,DALYs (Disability-Adjusted Life Years),China,Male,60+ years,Chronic kidney disease,Rate,2013,1306.39165,1587.038063,994.7732301
All Population,DALYs (Disability-Adjusted Life Years),China,Female,60+ years,Chronic kidney disease,Rate,2013,1203.80523,1419.362957,995.6882331
All Population,DALYs (Disability-Adjusted Life Years),China,Male,20-54 years,Chronic kidney disease,Rate,2013,201.5918728,238.0873246,162.6216622
All Population,DALYs (Disability-Adjusted Life Years),China,Female,20-54 years,Chronic kidney disease,Rate,2013,148.2935178,178.1859994,122.595873
All Population,DALYs (Disability-Adjusted Life Years),China,Male,55-59 years,Chronic kidney disease,Rate,2014,547.2603142,659.2890369,416.6875127
All Population,DALYs (Disability-Adjusted Life Years),China,Female,55-59 years,Chronic kidney disease,Rate,2014,440.6316706,548.7258975,358.9843821
All Population,DALYs (Disability-Adjusted Life Years),China,Male,<20 years,Chronic kidney disease,Rate,2014,28.73662838,36.09282261,21.88433265
All Population,DALYs (Disability-Adjusted Life Years),China,Female,<20 years,Chronic kidney disease,Rate,2014,24.74185183,31.85887307,18.71077427
All Population,DALYs (Disability-Adjusted Life Years),China,Male,60+ years,Chronic kidney disease,Rate,2014,1292.142898,1553.195975,985.3414737
All Population,DALYs (Disability-Adjusted Life Years),China,Female,60+ years,Chronic kidney disease,Rate,2014,1193.555975,1413.625133,974.9387601
All Population,DALYs (Disability-Adjusted Life Years),China,Male,20-54 years,Chronic kidney disease,Rate,2014,199.4259203,230.4434959,158.4389273
All Population,DALYs (Disability-Adjusted Life Years),China,Female,20-54 years,Chronic kidney disease,Rate,2014,146.2593081,177.1651077,120.3447538
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,55-59 years,Chronic kidney disease,Rate,2015,1157.464831,1390.25931,979.3364352
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,55-59 years,Chronic kidney disease,Rate,2015,888.6670993,1052.094154,752.621734
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,<20 years,Chronic kidney disease,Rate,2015,106.0621875,148.4216322,78.60677948
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,<20 years,Chronic kidney disease,Rate,2015,87.96915032,126.4611242,64.04016927
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,60+ years,Chronic kidney disease,Rate,2015,2325.211748,2682.020433,2055.896433
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,60+ years,Chronic kidney disease,Rate,2015,1917.101887,2173.40196,1703.757214
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,20-54 years,Chronic kidney disease,Rate,2015,384.8057434,453.6597543,324.3820394
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,20-54 years,Chronic kidney disease,Rate,2015,315.8339249,378.9291859,260.9674638
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,55-59 years,Chronic kidney disease,Rate,2013,1132.428117,1354.019537,950.4418076
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,55-59 years,Chronic kidney disease,Rate,2013,855.3354524,987.4768556,726.0328898
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,<20 years,Chronic kidney disease,Rate,2013,105.2527474,148.0561256,77.97865326
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,<20 years,Chronic kidney disease,Rate,2013,87.09667765,124.4391447,63.12985817
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,60+ years,Chronic kidney disease,Rate,2013,2322.728136,2652.574474,2010.901909
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,60+ years,Chronic kidney disease,Rate,2013,1895.857399,2143.523979,1685.505202
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,20-54 years,Chronic kidney disease,Rate,2013,382.8974512,450.3485256,319.4363266
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,20-54 years,Chronic kidney disease,Rate,2013,305.510015,369.6218099,254.3923666
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,55-59 years,Chronic kidney disease,Rate,2016,1174.548565,1414.592855,1004.262393
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,55-59 years,Chronic kidney disease,Rate,2016,902.4673638,1067.670021,768.4199602
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,<20 years,Chronic kidney disease,Rate,2016,106.8875086,149.0287844,78.43448576
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,<20 years,Chronic kidney disease,Rate,2016,88.5379681,125.5344463,64.76923321
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,60+ years,Chronic kidney disease,Rate,2016,2333.184561,2687.048895,2079.924854
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,60+ years,Chronic kidney disease,Rate,2016,1919.336326,2167.480693,1709.10947
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,20-54 years,Chronic kidney disease,Rate,2016,389.2113575,452.328761,329.9376489
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,20-54 years,Chronic kidney disease,Rate,2016,320.3741554,380.1356808,266.7770031
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,55-59 years,Chronic kidney disease,Rate,2017,1175.895913,1409.798419,1008.038862
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,55-59 years,Chronic kidney disease,Rate,2017,902.8244139,1064.993033,769.3346656
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,<20 years,Chronic kidney disease,Rate,2017,107.700468,148.1262737,79.32301172
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,<20 years,Chronic kidney disease,Rate,2017,89.15087393,126.5789467,64.43838999
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,60+ years,Chronic kidney disease,Rate,2017,2339.031938,2663.72561,2089.163368
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,60+ years,Chronic kidney disease,Rate,2017,1923.836478,2170.316659,1707.105527
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,20-54 years,Chronic kidney disease,Rate,2017,390.9740266,452.6823485,329.5533604
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,20-54 years,Chronic kidney disease,Rate,2017,322.8928288,384.2029762,267.8098005
